i,j,fluid_fraction,phi
1,1,1.0,1.0000001293879954
2,1,1.0,1.0000001608391529
3,1,1.0,1.000000210102944
4,1,1.0,1.0000002791181917
5,1,1.0,1.000000368140588
6,1,1.0,1.0000004746647686
7,1,1.0,1.0000005922291744
8,1,1.0,1.0000007093528938
9,1,1.0,1.000000809055499
10,1,1.0,1.0000008698148628
11,1,0.008336461126900896,1.0000008698148628
12,1,0.0,0.9999986290427931
13,1,0.0,0.9999962733607158
14,1,0.0,0.9999898700090191
15,1,0.0,0.9999724643088854
16,1,0.0,0.9999251537724894
17,1,0.0,0.9997965730219448
18,1,0.0,0.9994472213630764
19,1,0.0,0.998498817743263
20,1,0.0,0.9959298622841039
21,1,0.0,0.9890130573694068
22,1,0.0,0.9706877692486436
23,1,0.0,0.9241418199787563
24,1,0.0,0.8175744761936434
25,1,0.0,0.6224593312018536
26,1,0.0,0.37754066879814513
27,1,0.0,0.1824255238063558
28,1,0.0,0.0758581800212435
29,1,0.0,0.029312230751356194
30,1,0.0,0.010986942630593188
31,1,0.0,0.004070137715896094
32,1,0.0,0.0015011822567370103
33,1,0.0,0.000552778636923601
34,1,0.0,0.00020342697805519894
35,1,0.0,7.484622751063874e-5
36,1,0.0,2.7535691114577432e-5
37,1,0.0,1.01299909808783e-5
38,1,0.0,3.726639284162836e-6
39,1,0.0,1.3709572068698606e-6
40,1,0.0,5.043474082255806e-7
41,1,0.0,1.8553910186014377e-7
42,1,0.0,6.825602910653927e-8
43,1,0.0,2.5109990919869318e-8
44,1,0.0,9.237449583032742e-9
45,1,0.0,3.398267833798485e-9
46,1,0.0,1.2501528701136522e-9
47,1,0.0,4.5990555808117506e-10
48,1,0.0,1.6918977330249163e-10
49,1,0.0,6.224143422883799e-11
50,1,0.008336461126909445,7.771739365332297e-12
51,1,1.0,7.771739365332297e-12
52,1,1.0,6.223633423402586e-12
53,1,1.0,3.819162696341473e-12
54,1,1.0,2.0182925629310457e-12
55,1,1.0,9.975083840189707e-13
56,1,1.0,4.761306952992559e-13
57,1,1.0,2.2267460199503915e-13
58,1,1.0,1.0295011878411591e-13
59,1,1.0,4.739258582001929e-14
60,1,1.0,2.1868595045589063e-14
61,1,1.0,1.0184318583446992e-14
62,1,1.0,4.810930099426845e-15
63,1,1.0,2.316275012804401e-15
64,1,1.0,1.1380349067056516e-15
65,1,1.0,5.732287560803997e-16
66,1,1.0,3.008486384802489e-16
67,1,1.0,1.5246596024297799e-16
68,1,1.0,7.491113269096215e-17
69,1,1.0,2.9210967681016944e-17
70,1,1.0,1.8579857408009718e-17
71,1,1.0,2.062262422630836e-17
72,1,1.0,2.1234778776018557e-17
73,1,1.0,2.0890024290726533e-17
74,1,1.0,1.9900414993105063e-17
75,1,1.0,1.8542814600750886e-17
76,1,1.0,1.7004517173186593e-17
77,1,1.0,1.5353709751264e-17
78,1,1.0,1.3614900227721356e-17
79,1,1.0,1.1821593750314122e-17
80,1,1.0,1.0028062168757565e-17
81,1,1.0,8.295570567642586e-18
82,1,1.0,6.681348055293069e-18
83,1,1.0,5.232345385814784e-18
84,1,1.0,3.980037133526396e-18
85,1,1.0,2.938236705137736e-18
86,1,1.0,2.1039412792732522e-18
87,1,1.0,1.460613222283381e-18
88,1,1.0,9.827600389765858e-19
89,1,1.0,6.406950554881383e-19
90,1,1.0,4.046050081485553e-19
91,1,1.0,2.474359059830363e-19
92,1,1.0,1.465015996567947e-19
93,1,1.0,8.400515623813984e-20
94,1,1.0,4.680389261351278e-20
95,1,1.0,2.576840837164767e-20
96,1,1.0,1.5032624976981495e-20
97,1,0.610876839570762,1.1351189392476251e-20
98,1,0.0,0.0
99,1,0.0,0.0
100,1,0.0,0.0
101,1,0.0,0.0
102,1,0.0,0.0
103,1,0.0,0.0
104,1,0.0,0.0
105,1,0.0,0.0
106,1,0.0,0.0
107,1,0.0,0.0
108,1,0.0,0.0
109,1,0.0,0.0
110,1,0.0,0.0
111,1,0.0,0.0
112,1,0.0,0.0
113,1,0.0,0.0
114,1,0.0,0.0
115,1,0.0,0.0
116,1,0.0,0.0
117,1,0.0,0.0
118,1,0.0,0.0
119,1,0.0,0.0
120,1,0.0,0.0
121,1,0.0,0.0
122,1,0.0,0.0
123,1,0.0,0.0
124,1,0.0,0.0
125,1,0.0,0.0
126,1,0.0,0.0
127,1,0.0,0.0
128,1,0.0,0.0
129,1,0.0,0.0
130,1,0.0,0.0
131,1,0.0,0.0
132,1,0.0,0.0
133,1,0.0,0.0
134,1,0.0,0.0
135,1,0.0,0.0
136,1,0.0,0.0
137,1,0.40579608268305956,3.772595245832607e-46
138,1,1.0,3.772595245832607e-46
139,1,1.0,1.9432119903122037e-46
140,1,1.0,8.863663440073164e-47
141,1,1.0,3.718808799832226e-47
142,1,1.0,1.4635300452248272e-47
143,1,1.0,5.474707468070813e-48
144,1,1.0,1.965713467829416e-48
145,1,1.0,6.82552926728879e-49
146,1,1.0,2.305922854312111e-49
147,1,1.0,7.620578139977472e-50
148,1,1.0,2.4769959767152842e-50
149,1,1.0,7.963636682384821e-51
150,1,1.0,2.5479085002636794e-51
151,1,1.0,8.17027935339216e-52
152,1,1.0,2.6413626046866992e-52
153,1,1.0,8.658324958102732e-53
154,1,1.0,2.8755506393638127e-53
155,1,1.0,9.601342546356604e-54
156,1,1.0,3.211127750939509e-54
157,1,1.0,1.0660549793580466e-54
158,1,1.0,3.474804579974466e-55
159,1,1.0,1.101906136486344e-55
160,1,1.0,3.379561460082684e-56
161,1,1.0,9.994618329528377e-57
162,1,1.0,2.84691708326068e-57
163,1,1.0,7.809936347550598e-58
164,1,1.0,2.064284050167973e-58
165,1,1.0,5.261336630049952e-59
166,1,1.0,1.2944238479637836e-59
167,1,1.0,3.0772680367794145e-60
168,1,1.0,7.07643196902473e-61
169,1,1.0,1.575727976728712e-61
170,1,1.0,3.4011062106924866e-62
171,1,1.0,7.123344285337495e-63
172,1,1.0,1.4491867890069745e-63
173,1,1.0,2.8666503016679958e-64
174,1,1.0,5.5186186451651975e-65
175,1,1.0,1.034749679813065e-65
176,1,1.0,1.8909053574710035e-66
177,1,1.0,3.3692785409994075e-67
178,1,1.0,5.8552651987701235e-68
179,1,1.0,9.92422620408846e-69
180,1,1.0,1.6400189753973726e-69
181,1,1.0,2.6404981680404333e-70
182,1,1.0,4.1332966979206486e-71
183,1,1.0,6.064814874192889e-72
184,1,0.2134172180146201,6.064814874192889e-72
185,1,0.0,0.0
186,1,0.0,0.0
187,1,0.0,0.0
188,1,0.0,0.0
189,1,0.0,0.0
190,1,0.0,0.0
191,1,0.0,0.0
192,1,0.0,0.0
193,1,0.0,0.0
194,1,0.0,0.0
195,1,0.0,0.0
196,1,0.0,0.0
197,1,0.0,0.0
198,1,0.0,0.0
199,1,0.0,0.0
200,1,0.0,0.0
201,1,0.0,0.0
202,1,0.0,0.0
203,1,0.0,0.0
204,1,0.0,0.0
205,1,0.0,0.0
206,1,0.0,0.0
207,1,0.0,0.0
208,1,0.0,0.0
209,1,0.0,0.0
210,1,0.0,0.0
211,1,0.0,0.0
212,1,0.0,0.0
213,1,0.0,0.0
214,1,0.0,0.0
215,1,0.0,0.0
216,1,0.0,0.0
217,1,0.0,0.0
218,1,0.0,0.0
219,1,0.0,0.0
220,1,0.0,0.0
221,1,0.0,0.0
222,1,0.0,0.0
223,1,0.0,0.0
224,1,0.8032557042391949,2.536469849362202e-120
